"campaign_localised_strings_string_sea_region_control_status_replenishment_rate_mod_garrisoned"	"…όταν είναι σε λιμένα: \+%d%%"	"True"
"campaign_localised_strings_string_public_order_faction_province"	"%PLACEHOLDER% (UNUSED)"	"True"
"campaign_localised_strings_string_edicts_incoming_description"	"[[col:green]]Αυτό το διάταγμα θα ισχύσει από τον επόμενο γύρο.[[/col]]"	"True"
"campaign_localised_strings_string_edicts_outgoing_description"	"[[col:red]]Αυτό το διάταγμα θα λήξει στον επόμενο γύρο.[[/col]]"	"True"
"campaign_localised_strings_string_edicts_disabled_province_incomplete"	"[[col:red]]Δε μπορείτε να εκδώσετε διάταγμα σε επαρχίες που δεν ελέγχετε πλήρως.[[/col]]"	"True"
"campaign_localised_strings_string_raise_force_reinstate_cannot_no_legacies"	"[[col:red]]Δεν διαθέτετε στρατιωτικούς θρύλους για να αναβιώσετε.[[/col]]"	"True"
"campaign_localised_strings_string_MPC_cannot_construct_not_your_turn"	"[[col:red]]Δεν μπορείτε να κατασκευάσετε κτίρια κατά την διάρκεια του γύρου άλλης φατρίας.[[/col]]"	"True"
"campaign_localised_strings_string_edicts_disabled_cap_reached"	"[[col:red]]Επί του παρόντος, δε μπορείτε να εκδώσετε επιπλέον διατάγματα.[[/col]]\nΑνακαλέστε ένα υφιστάμενο διάταγμα ή αυξήστε την ισχύ της φατρίας σας, εξασφαλίζοντας περισσότερα εδάφη, επιτρέποντας σας έτσι να εκδώσετε επιπλέον διατάγματα."	"True"
"campaign_localised_strings_string_raise_force_navy_cannot_port_required"	"[[col:red]]Μπορείτε να ναυπηγήσετε στόλους μόνο σε οικισμούς με λιμένες.[[/col]]"	"True"
"campaign_localised_strings_string_details_panel_ancillary_cannot_assign"	"[[col:yellow]]Δεν υπάρχουν διαθέσιμα μέλη νοικοκυριού ή αντικείμενα.[[/col]]"	"True"
"campaign_localised_strings_string_edicts_cancel"	"Ακύρωση διατάγματος\nΤο τρέχον διάταγμα θα πάψει να ισχύει κατά την έναρξη του επόμενου γύρου."	"True"
"campaign_localised_strings_string_public_order_other"	"Άλλα"	"True"
"campaign_localised_strings_string_growth_other"	"Άλλα"	"True"
"campaign_localised_strings_string_gdp_other"	"Άλλα"	"True"
"campaign_localised_strings_string_unit_upgrade_header"	"Αναβάθμιση"	"True"
"campaign_localised_strings_string_unit_upgrade_cannot"	"Αναβάθμιση αδύνατη:"	"True"
"campaign_localised_strings_string_raise_legacy"	"Αναβίωση Θρύλου||Αναβιώστε το όνομα μίας από τις ηττημένες ή παροπλισμένες στρατιωτικές δυνάμεις σας.||Η νέα δύναμη θα διατηρήσει όλες τις παραδόσεις της προκατόχου της."	"True"
"campaign_localised_strings_string_unit_upgrade_retrain_description"	"Αντικαθιστά την μονάδα με μια πιο προηγμένου τύπου."	"True"
"campaign_localised_strings_string_unit_details_mancount"	"Άντρες:"	"True"
"campaign_localised_strings_string_imperium_2_title"	"Αξιοσημείωτη"	"True"
